716;34471;fascinate;"1) очаровывать, приводить в восхищение, пленять  2) увлекать, вызывать острый или глубокий интерес  3) space exploration fascinates mankind человечество увлечено освоением космоса  4) зачаровывать; оказывать гипнотическое влияние, гипнотизировать взглядом"
2567;9565;biased;"1) пристрастный, предубежденный  2) (спец.) смещенный, несимметричный; систематически отклоняющийся (от ожидаемого значения)  3) (эк.) смещенный, отклоненный  4) как компонент сложных слов с (таким-то) уклоном"
746;43019;halt;"1) остановка; привал  2) (авт.) остановка  3) (ж-д.) полустанок  4) (эл.) останов  5) останавливать; обрывать; прекращать  6) останавливаться  7) запинание; запинка  8) (уст.) хромота  9) (уст.) хромой  10) в грам. знач. сущ. собир хромые  11) колебаться  12) запинаться  13) быть неубедительным, шатким  14) (уст.) хромать; идти нетвердым шагом"
8319;132639;bolster up courage;1) оказывать моральную поддержку кому-л.  2) приободрять
5205;73147;plateau;"1) (геогр.) плато, плоская возвышенность, плоскогорье  2) прочное, высокое положение  3) (мат.) горизонтальный участок (кривой); отсутствие роста, стабилизация  4) (ист.) срединник (украшение для обеденного стола); декоративное блюдо  5) (ист.) плоская брошь  6) дамская шляпка с плоской тульей"
6780;6789;authenticity;подлинность, достоверность, аутентичность
1542;49481;indispensable;1) то, без чего невозможно обойтись  2) брюки  3) необходимый  4) необходимый, незаменимый (о человеке)  5) обязательный, без исключений (о законе)
5578;18983;coherent;1) связанный, сцепленный  2) логически последовательный, связный  3) понятный, ясно произносимый  4) разборчивый  5) (спец.) когерентный
11901;135882;pursuing;преследующий
10823;93885;subversive;1) человек, ведущий подрывную деятельность, подрывной элемент  2) подрывной  3) разрушительный, гибельный, губительный
3585;46047;home counties;(тж. H.C.) графства, прилегающие к Лондону
6026;13192;bureau;"1) бюро  2) отдел; управление; комитет  3) бюро, конторка, письменный стол  4) (ам.) комод (тж. с зеркалом)"
2505;15742;census;1) перепись (населения)  2) перепись, учет численности  3) (ист.) ценз (в Древнем Риме)  4) (спец.) полный набор характеристик
